age,attend,authoritarianism,black,born,childs,colath,colrac,colcom,colmil,colhomo,colmslm,con_govt,egalit_scale,evangelical,grass,happy,hispanic_2,homosex,income06,mode,owngun,polviews,pornlaw2,pray,pres08,reborn_r,science_quiz,sex,sibs,social_connect,south,teensex,tolerance,tvhours,vetyears,wordsum,degree_HS,degree_Junior.Coll,degree_Bachelor.deg,degree_Graduate.deg,marital_Widowed,marital_Divorced,marital_Separated,marital_Never.married,news_FEW.TIMES.A.WEEK,news_ONCE.A.WEEK,news_LESS.THAN.ONCE.WK,news_NEVER,partyid_3_Ind,partyid_3_Rep,relig_CATHOLIC,relig_JEWISH,relig_NONE,relig_OTHER,relig_BUDDHISM,relig_HINDUISM,relig_OTHER.EASTERN,relig_MOSLEM.ISLAM,relig_ORTHODOX.CHRISTIAN,relig_CHRISTIAN,relig_NATIVE.AMERICAN,relig_INTER.NONDENOMINATIONAL,social_cons3_Mod,social_cons3_Conserv,spend3_Mod,spend3_Liberal,zodiac_TAURUS,zodiac_GEMINI,zodiac_CANCER,zodiac_LEO,zodiac_VIRGO,zodiac_LIBRA,zodiac_SCORPIO,zodiac_SAGITTARIUS,zodiac_CAPRICORN,zodiac_AQUARIUS,zodiac_PISCES
21,0,4,0,0,0,1,1,0,1,1,1,4,22,0,0,0,0,0,24,0,1,4,1,5,0,0,7,0,2,5,0,0,10,3,0,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,4,0,0,2,0,1,1,0,0,0,2,14,1,0,1,1,3,22,0,1,4,1,0,0,0,10,0,1,5,0,3,13,3,0,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,1,1,1,0,3,0,1,1,0,0,1,4,20,1,1,0,0,0,18,0,1,1,1,0,0,0,4,1,0,5,0,0,10,3,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,3,2,0,0,2,0,1,0,1,0,1,2,34,2,0,1,0,0,15,0,0,3,1,3,0,1,7,1,2,10,0,0,11,3,0,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
24,3,6,0,1,3,1,1,0,0,0,1,3,35,0,1,1,1,3,4,0,1,3,1,4,0,0,5,1,2,4,0,0,7,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,0,1,1,0,2,0,1,0,1,0,1,3,21,0,0,2,0,3,0,0,1,5,1,5,0,0,7,1,2,5,0,2,8,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
28,2,1,0,0,0,0,0,1,0,0,1,4,33,2,0,1,0,3,15,0,1,1,1,1,0,1,7,1,0,7,0,0,14,3,0,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55,7,2,0,0,6,0,0,1,0,0,0,3,26,0,0,0,0,3,0,0,1,0,1,1,1,0,5,0,4,5,0,0,11,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,0,1,1,0,3,0,1,1,1,0,1,2,35,0,0,1,0,3,18,0,1,1,1,1,0,0,6,1,2,8,0,3,12,2,0,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28,0,4,0,0,4,0,0,1,0,0,0,1,30,0,0,2,0,3,7,0,1,3,1,5,0,0,7,1,6,4,0,1,14,3,0,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,8,4,1,0,6,1,1,0,1,1,1,2,22,2,1,0,0,0,13,0,1,3,0,0,0,1,4,1,7,7,0,0,5,2,0,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,3,3,0,1,4,0,1,1,1,0,1,4,1,2,1,2,1,0,1,1,1,6,1,0,0,1,6,0,6,1,0,0,11,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,4,2,1,0,4,1,1,0,1,0,1,1,35,1,1,1,0,3,18,0,1,2,1,0,0,1,5,1,2,4,0,0,4,4,0,5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36,7,0,0,1,3,0,1,1,0,0,1,3,18,0,1,1,1,3,18,0,1,3,1,3,1,0,8,0,5,10,0,0,11,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,5,3,1,0,5,0,0,1,0,0,1,3,29,1,0,1,0,0,17,0,1,5,1,1,0,1,6,1,2,4,0,0,10,3,0,5,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
18,2,3,0,0,0,0,1,1,0,0,0,3,24,0,0,1,1,3,13,0,1,3,1,5,0,0,8,1,3,5,0,0,10,5,0,5,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,7,5,0,1,8,0,0,0,0,1,0,1,35,1,1,2,1,0,9,0,1,6,1,0,0,0,3,1,10,0,0,0,9,5,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
39,3,7,0,1,1,1,1,0,1,1,1,4,22,1,1,1,1,0,17,0,1,6,1,1,0,1,6,0,6,5,0,0,8,3,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
54,7,2,0,0,2,0,1,1,0,0,1,2,17,1,0,1,0,3,21,1,0,5,1,0,0,0,8,0,1,6,0,0,12,3,0,7,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,2,5,0,1,2,1,1,1,0,0,1,3,11,0,1,0,0,0,23,0,1,1,0,1,0,0,5,1,3,8,0,0,12,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
71,7,6,0,0,2,1,1,0,1,1,1,1,3,2,1,0,0,0,22,0,0,4,0,1,1,1,6,0,1,2,0,0,6,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
42,5,2,0,1,2,1,1,1,0,0,1,4,13,0,1,1,0,3,21,1,1,3,1,1,1,0,6,1,0,7,0,2,12,3,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
81,6,1,1,0,3,0,0,1,0,0,0,2,11,0,0,2,0,3,17,0,1,3,1,1,0,0,8,1,2,3,0,0,12,4,0,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
78,7,2,0,0,0,1,1,0,1,1,1,4,1,0,1,1,0,0,20,0,1,3,0,0,0,0,5,0,2,3,0,0,1,3,2,6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
63,7,2,0,0,2,0,1,1,0,0,1,4,22,0,0,0,0,3,18,0,1,1,0,1,0,0,7,1,5,5,0,0,11,4,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
73,0,0,0,0,0,0,1,1,0,0,0,2,35,0,0,0,0,3,24,1,1,1,0,5,0,0,8,0,0,0,0,0,13,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,4,5,0,1,1,1,1,1,0,0,1,4,14,0,1,1,0,3,19,0,1,2,1,2,0,0,8,0,4,7,0,0,12,2,0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,4,1,0,0,0,0,0,1,1,0,1,1,15,0,1,1,0,3,19,0,1,4,1,0,1,0,5,1,1,8,0,0,9,3,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
62,7,1,0,0,2,0,0,1,0,0,0,3,33,2,0,1,0,3,19,0,0,1,1,0,0,1,8,0,1,4,0,0,14,3,0,7,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,0,2,0,0,0,0,0,1,0,0,0,2,16,0,0,1,0,3,21,0,1,3,1,5,0,0,6,0,5,2,0,3,14,5,2,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,5,3,1,0,0,1,1,0,0,0,1,3,35,2,1,0,0,0,17,0,1,3,0,0,0,1,3,1,2,8,0,0,10,16,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,0,1,0,0,0,0,0,1,1,0,0,2,27,0,0,1,0,3,15,1,1,1,1,5,0,0,8,1,2,8,0,2,13,1,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
